Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.61,1000,642.7,0.0000,613,1000
0.61,1000,674.8,0.0000,613,1000
0.61,1000,509.9,0.2191,613,1000
0.61,1000,788.2,0.0000,613,1000
0.61,1000,704.5,0.0000,613,1000
0.61,1000,649.7,0.0000,613,1000
0.62,1000,690.3,0.0000,613,1000
0.62,1000,695.2,0.0000,613,1000
0.62,1000,625.2,0.0000,613,1000
0.62,1000,729.3,0.0000,613,1000
0.62,1000,691.2,0.0000,613,1000
0.62,1000,803.3,0.0000,613,1000
0.62,1000,796.8,0.0000,613,1000
0.62,1000,806.1,0.0000,613,1000
0.63,1000,806.3,0.0000,613,1000
0.63,1000,785.8,0.0000,613,1000
0.63,1000,695.7,0.0000,613,1000
0.63,1000,488.5,0.2274,613,1000
0.63,1000,789.6,0.0000,613,1000
0.63,1000,782.7,0.0000,613,1000
0.63,1000,796.7,0.0000,613,1000
0.64,1000,803.1,0.0000,613,1000
0.64,1000,784.9,0.0000,613,1000
0.64,1000,766.7,0.0000,613,1000
0.64,1000,788.0,0.0000,613,1000
0.64,1000,301.0,0.0000,611,1000
0.64,1000,781.3,0.0000,611,1000
0.65,1000,773.7,0.0000,611,1000
0.65,1000,802.9,0.0000,611,1000
0.65,1000,807.1,0.0000,611,1000
0.65,1000,556.4,0.2142,611,1000
0.65,1000,781.2,0.0000,611,1000
0.65,1000,792.0,0.0000,611,1000
0.65,1000,806.5,0.0000,611,1000
0.65,1000,810.8,0.0000,611,1000
0.66,1000,802.5,0.0000,611,1000
0.66,1000,810.8,0.0000,611,1000
0.66,1000,808.9,0.0000,611,1000
0.66,1000,787.2,0.0000,611,1000
0.66,1000,798.7,0.0000,611,1000
0.66,1000,818.3,0.0000,611,1000
0.66,1000,795.5,0.0000,611,1000
0.66,1000,763.5,0.0000,611,1000
0.67,1000,794.1,0.0000,611,1000
0.67,1000,791.3,0.0000,611,1000
0.67,1000,515.8,0.2488,611,1000
0.67,1000,610.8,0.0000,611,1000
0.67,1000,768.1,0.0000,611,1000
0.67,1000,780.0,0.0000,611,1000
0.67,1000,795.4,0.0000,611,1000
0.68,1000,798.1,0.0000,611,1000
0.68,1000,808.2,0.0000,611,1000
0.68,1000,800.8,0.0000,611,1000
0.68,1000,782.3,0.0000,611,1000
0.68,1000,772.9,0.0000,611,1000
0.68,1000,787.1,0.0000,611,1000
0.68,1000,812.1,0.0000,611,1000
0.69,1000,786.2,0.0000,611,1000
0.69,1000,759.9,0.0000,611,1000
0.69,1000,670.7,0.0000,611,1000
0.69,1000,491.2,0.3410,611,1000
0.69,1000,778.5,0.0000,612,1000
0.69,1000,624.8,0.0000,612,1000
0.69,1000,722.6,0.0000,612,1000
0.70,1000,653.8,0.0000,612,1000
0.70,1000,667.6,0.0000,612,1000
0.70,1000,793.8,0.0000,612,1000
0.70,1000,778.9,0.0000,612,1000
0.70,1000,783.7,0.0000,612,1000
0.70,1000,808.9,0.0000,612,1000
0.70,1000,763.6,0.0000,612,1000
0.70,1000,684.4,0.0000,612,1000
0.71,1000,783.9,0.0000,612,1000
0.71,1000,812.1,0.0000,612,1000
0.71,1000,578.1,0.2032,612,1000
0.71,1000,797.3,0.0000,612,1000
0.71,1000,778.8,0.0000,612,1000
0.71,1000,797.9,0.0000,612,1000
0.71,1000,797.7,0.0000,612,1000
0.72,1000,799.8,0.0000,612,1000
0.72,1000,800.6,0.0000,612,1000
